filename,split,md5,phash,path
bam5_Img2_A80_S4_[14][30].png,train,a4d2376b265d0d6547f255822c8383b2,ed9c14b4996b6a62,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[14][30].png
bam5_Img2_A80_S4_[16][30].png,train,d4e3ba7b1279099cbc6047da7cbf9987,e9ad0ace6ce426b4,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[16][30].png
bam5_Img2_A80_S4_[16][34].png,train,230701befde3dac1e17c2a129e37c6da,9f9fb830178383c3,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[16][34].png
bam5_Img2_A80_S4_[18][17].png,train,305a86d3275f16b5570b69ef67b39e22,a98ba2f694c6e6c1,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[18][17].png
bam5_Img2_A80_S4_[18][28].png,train,efdcc3563be7ba574852d6dde0ed7cd9,d5cdfd9ca0f094c0,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[18][28].png
bam5_Img2_A80_S4_[18][30].png,train,c4a257d55fa541a274710992794af5ee,e9e1ad81920b89fd,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[18][30].png
bam5_Img2_A80_S4_[1][25].png,train,1266ce562cd7787a43b42e8c038a94ac,ad0f10473f0b3d47,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[1][25].png
bam5_Img2_A80_S4_[1][30].png,train,e1479fccc611cd9d858ae07b06abee7d,80167b786d47733c,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[1][30].png
bam5_Img2_A80_S4_[2][29].png,train,0ff773ba6ad094d22aed0fd23905ef72,861d74727702fd46,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[2][29].png
bam5_Img2_A80_S4_[2][31].png,train,54a4b72a5dc6d7b8bdc5df9a81e205e3,8803393d3d2763f9,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[2][31].png
bam5_Img2_A80_S4_[3][31].png,train,bc247856f3e478aae565bfa880942c16,a84313581d7d3f0f,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[3][31].png
bam5_Img2_A80_S4_[5][30].png,train,332e1fd778094725ca2b13f757bdb8ab,b34c0c074c2f1f5f,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[5][30].png
bam5_Img2_A80_S4_[6][29].png,train,8518a27f09154bca4238ca768abaddc4,a6571b3f15770123,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S4_[6][29].png
bam5_Img2_A80_S5_[15][14].png,train,5251a98ae5544a7aa54762ec4d899433,b494d3ae69f0c6c4,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[15][14].png
bam5_Img2_A80_S5_[17][14].png,train,90ceca90a203539039e93d8052afda3e,f7b490d386868ccd,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[17][14].png
bam5_Img2_A80_S5_[18][12].png,train,8d4fbf379db92d843f5fcc35d740411f,c1eaa6e5e5a9a0aa,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[18][12].png
bam5_Img2_A80_S5_[18][13].png,train,5e0ca858069cee9c03dcc85d60b6a67c,e0aaa3d2f2a4b4b5,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[18][13].png
bam5_Img2_A80_S5_[1][33].png,train,75906b7c55d7d30622eafa30a647ea30,bc4e732c43617267,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[1][33].png
bam5_Img2_A80_S5_[1][9].png,train,86505b6d1285a25b61e35aed798eed88,fd27125b8d14da29,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[1][9].png
bam5_Img2_A80_S5_[2][12].png,train,c6c1cbf44eab4aa24e1a447c3481fbd4,9c3c5f23b158cc72,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[2][12].png
bam5_Img2_A80_S5_[2][29].png,train,b4e63ef6d5d07340efc671508ef8441f,eb29540a7b275e26,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[2][29].png
bam5_Img2_A80_S5_[2][32].png,train,1ebd373518f6ec896a1cebe0467b094f,b7596623215c7b07,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[2][32].png
bam5_Img2_A80_S5_[2][38].png,train,876aa4684c2b538296df6f35d11aedc9,ca173f6dc936112c,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[2][38].png
bam5_Img2_A80_S5_[2][8].png,train,059fb20fb11f99cf8b7d6cdd2ac4a7aa,ea6a0c14d67aaf15,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[2][8].png
bam5_Img2_A80_S5_[3][10].png,train,f4a1ecf9742348e3cb57fe7e4bcf4808,fe36335309492d72,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[3][10].png
bam5_Img2_A80_S5_[3][13].png,train,6f0cba5c35f19b6e90122f02d045cd0a,87178f41b0783d67,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[3][13].png
bam5_Img2_A80_S5_[3][30].png,train,e8c44961b2f6f64dd239e504c2c41200,e804d64b9d4ab64f,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[3][30].png
bam5_Img2_A80_S5_[4][29].png,train,10de7cc7f3ed0fd96b7d3b682fde7acd,eb0bad55061a5aab,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[4][29].png
bam5_Img2_A80_S5_[4][30].png,train,ec5d2557718deb5692d3c2bb97208bcf,e805b45ab35d49b5,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[4][30].png
bam5_Img2_A80_S5_[4][33].png,train,f55c1f95b6681532a25996e1f049defa,b60cce53437c31ce,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[4][33].png
bam5_Img2_A80_S5_[5][31].png,train,a77cccfdee81069e4807e0d3c61a8d98,ae0692536d5b5565,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S5_[5][31].png
bam5_Img2_A80_S6_[14][18].png,train,6342f9d654f503fede7f2c2207cf72d7,f3fb2a627646460c,./data/RIAWELC_split\train\CR\bam5_Img2_A80_S6_[14][18].png
